City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,raduzhnyy,100,RU,1603736415,96,62.1,77.47,24.46,10.96
1,longyearbyen,75,SJ,1603736415,79,78.22,15.64,23.0,11.41
2,ushuaia,40,AR,1603736350,33,-54.8,-68.3,59.0,18.34
3,dikson,99,RU,1603736415,95,73.51,80.55,12.34,14.41
4,lagoa,6,PT,1603736415,87,39.05,-27.98,67.71,24.4
6,mar del plata,0,AR,1603736416,32,-38.0,-57.56,66.2,8.05
8,mataura,50,NZ,1603736416,89,-46.19,168.86,48.0,1.77
9,hithadhoo,8,MV,1603736416,67,-0.6,73.08,83.34,6.82
10,husavik,75,IS,1603736416,69,66.04,-17.34,37.4,6.93
11,naze,40,JP,1603736383,88,28.37,129.48,64.4,2.24
12,yellowknife,75,CA,1603736362,68,62.46,-114.35,24.8,8.05
13,sept-iles,90,CA,1603736375,76,50.2,-66.38,34.0,4.7
14,hualmay,70,PE,1603736417,66,-11.1,-77.61,70.25,10.65
15,rikitea,73,PF,1603736417,85,-23.12,-134.97,75.38,18.52
16,khor,0,RU,1603736417,90,47.89,134.95,36.09,3.49
17,grasse,83,FR,1603736417,87,43.67,6.92,55.4,2.24
18,albany,100,US,1603736417,82,42.6,-73.97,48.0,1.01
19,santiago del estero,0,AR,1603736162,13,-27.8,-64.26,85.64,6.62
20,khatanga,88,RU,1603736418,94,71.97,102.5,2.1,8.97
21,punta arenas,20,CL,1603736418,40,-53.15,-70.92,53.6,29.97
22,ankang,100,CN,1603736418,55,32.68,109.02,55.99,13.0
23,hilo,90,US,1603736418,78,19.73,-155.09,75.0,6.93
24,vaini,40,TO,1603736418,88,-21.2,-175.2,71.6,8.05
25,nikolskoye,40,RU,1603736418,87,59.7,30.79,46.99,6.71
26,lysyanka,33,UA,1603736419,70,49.25,30.83,51.78,8.81
27,memphis,90,US,1603736234,76,35.15,-90.05,57.2,10.29
28,atuona,37,PF,1603736419,73,-9.8,-139.03,79.29,20.94
29,gijon,81,ES,1603736419,77,43.54,-5.66,57.99,1.99
30,jamestown,90,US,1603736191,93,42.1,-79.24,46.99,8.05
31,severo-kurilsk,98,RU,1603736419,84,50.68,156.12,42.85,3.02
32,taoudenni,10,ML,1603736371,15,22.68,-3.98,93.04,11.01
33,baherden,100,TM,1603736285,26,38.44,57.43,65.68,2.26
34,visakhapatnam,40,IN,1603736303,88,17.69,83.21,80.6,2.24
35,genhe,100,CN,1603736420,98,50.78,121.52,31.78,7.18
36,plettenberg bay,39,ZA,1603736420,82,-34.05,23.37,64.92,16.31
37,teya,30,RU,1603736420,95,60.38,92.63,16.21,2.66
38,bilibino,100,RU,1603736420,94,68.05,166.44,10.15,3.13
39,nanortalik,100,GL,1603736420,83,60.14,-45.24,36.3,6.51
40,thompson,75,CA,1603736420,58,55.74,-97.86,26.6,10.29
41,saint-philippe,0,RE,1603736421,78,-21.36,55.77,73.4,3.36
42,pisco,0,PE,1603736363,77,-13.7,-76.22,70.0,11.41
43,fairbanks,90,US,1603736421,92,64.84,-147.72,28.99,5.44
44,umm kaddadah,3,SD,1603736421,17,13.6,26.69,87.96,9.8
45,upernavik,91,GL,1603736421,81,72.79,-56.15,17.06,5.26
46,malia,20,GR,1603736422,82,35.28,25.47,71.01,5.44
47,puerto ayora,40,EC,1603736422,73,-0.74,-90.35,75.2,16.11
49,chuy,100,UY,1603736358,94,-33.7,-53.46,60.24,15.95
50,necochea,0,AR,1603736422,48,-38.55,-58.74,63.12,9.28
51,alice springs,0,AU,1603736292,35,-23.7,133.88,57.2,5.82
52,esperance,0,AU,1603736423,87,-33.87,121.9,57.2,8.05
53,arraial do cabo,20,BR,1603736423,65,-22.97,-42.03,78.8,8.05
54,provideniya,22,RU,1603736423,93,64.38,-173.3,28.78,2.13
55,tautira,75,PF,1603736423,74,-17.73,-149.15,82.4,8.05
56,busselton,16,AU,1603736424,73,-33.65,115.33,55.99,4.68
57,kodiak,1,US,1603736424,45,57.79,-152.41,48.2,17.22
58,batagay-alyta,100,RU,1603736424,84,67.8,130.41,6.19,1.95
59,mahebourg,40,MU,1603736355,78,-20.41,57.7,73.4,11.41
60,magadan,100,RU,1603736424,85,59.57,150.8,33.08,10.87
61,dingle,100,PH,1603736424,92,11.0,122.67,75.94,6.85
62,hobart,90,AU,1603736159,61,-42.88,147.33,50.0,3.36
63,half moon bay,1,US,1603736425,8,37.46,-122.43,66.2,19.46
64,lebu,98,CL,1603736369,67,-37.62,-73.65,54.5,5.55
65,butaritari,99,KI,1603736425,67,3.07,172.79,81.25,7.25
66,bethel,90,US,1603736425,81,41.37,-73.41,52.0,4.7
67,codrington,100,AU,1603736426,74,-38.27,141.97,47.35,11.65
68,guatire,40,VE,1603736426,70,10.48,-66.54,89.6,3.36
69,nemuro,83,JP,1603736426,70,43.32,145.57,50.86,8.25
71,barrow,75,US,1603736354,92,71.29,-156.79,17.6,3.36
72,avarua,100,CK,1603736426,73,-21.21,-159.78,75.2,12.75
73,belaya gora,0,RU,1603736426,88,68.53,146.42,4.03,6.02
74,iqaluit,75,CA,1603736359,72,63.75,-68.51,15.8,4.7
75,manuk mangkaw,100,PH,1603736427,79,4.8,119.85,82.56,25.3
76,aracati,8,BR,1603736427,55,-4.56,-37.77,86.72,12.33
77,ponta do sol,75,PT,1603736378,77,32.67,-17.1,66.99,9.17
78,khandyga,93,RU,1603736427,87,62.67,135.6,12.51,2.06
79,hammerfest,0,NO,1603736345,74,70.66,23.68,33.8,13.87
80,saskylakh,99,RU,1603736427,93,71.92,114.08,3.65,5.91
81,chalinze,43,TZ,1603736427,78,-6.64,38.35,75.61,5.41
82,harrisburg,90,US,1603736428,87,40.27,-76.88,53.01,5.82
83,riberalta,75,BO,1603736428,41,-10.98,-66.1,96.8,13.87
84,west bay,20,KY,1603736157,79,19.37,-81.42,86.0,11.41
85,dhadar,0,IN,1603736428,20,28.33,75.06,74.28,8.68
86,olga,0,RU,1603736428,78,43.74,135.29,38.26,4.18
87,aklavik,90,CA,1603736428,92,68.22,-135.01,14.0,8.05
88,walvis bay,2,NA,1603736428,77,-22.96,14.51,60.8,8.05
89,kavaratti,25,IN,1603736429,71,10.57,72.64,82.69,5.57
90,virginia beach,90,US,1603736333,88,36.85,-75.98,64.99,12.75
91,san andres,40,CO,1603736429,74,12.58,-81.7,84.2,3.36
93,port alfred,100,ZA,1603736429,82,-33.59,26.89,65.52,27.89
95,san felipe,33,VE,1603736430,72,10.34,-68.74,83.21,7.49
97,wajir,94,KE,1603736430,33,1.75,40.06,93.06,8.28
98,kavieng,79,PG,1603736430,68,-2.57,150.8,82.54,6.78
99,torbay,40,CA,1603736431,38,47.67,-52.73,43.0,13.87
100,mossendjo,91,CG,1603736431,95,-2.95,12.73,73.15,4.16
101,tuktoyaktuk,75,CA,1603736350,84,69.45,-133.04,6.8,12.75
102,banda aceh,89,ID,1603736431,76,5.56,95.32,80.15,11.52
103,hirado,13,JP,1603736431,77,33.36,129.55,59.0,6.93
104,talakan,100,RU,1603736432,86,50.32,130.37,34.66,5.75
105,talnakh,40,RU,1603736432,92,69.49,88.4,8.6,4.47
106,marrakesh,20,MA,1603736432,49,31.63,-8.01,71.6,8.05
107,balakhninskiy,96,RU,1603736432,94,58.01,114.28,16.92,2.37
108,georgetown,20,MY,1603736243,88,5.41,100.34,77.0,3.51
